case_number,year,month,day,country,activity,species,type,people_involved,sex,fatal
2014.08.25,2014.0,8.0,25.0,USA,Shark_Hunting_Activity,Bull,Provoked,I,M,N
2014.08.24,2014.0,8.0,24.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.08.16,2014.0,8.0,16.0,AUS,Spearfishing_Activity,Unspecified_Reef,Unprovoked,I,M,N
2014.08.12,2014.0,8.0,12.0,USA,Wading_Activity,Bull,Unprovoked,I,M,N
2014.08.10,2014.0,8.0,10.0,USA,Unknown_Activity,Unknown,Unprovoked,I,M,N
2014.08.09.R,2014.0,8.0,9.0,BHS,Spearfishing_Activity,Bull,Unprovoked,I,M,N
2014.08.09,2014.0,8.0,9.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2014.08.08,2014.0,8.0,8.0,USA,Swimming_Activity,Bull,Unprovoked,I,M,N
2014.08.06,2014.0,8.0,6.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2014.08.05,2014.0,8.0,5.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2014.08.02,2014.0,8.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.08.01,2014.0,8.0,1.0,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2014.07.27,2014.0,7.0,27.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2014.07.22,2014.0,7.0,22.0,REU,Board_Activity,Unknown,Unprovoked,I,M,N
2014.07.21,2014.0,7.0,21.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2014.07.20,2014.0,7.0,20.0,ESP,Wading_Activity,Unspecified_Angel,Unprovoked,I,U,N
2014.07.16,2014.0,7.0,16.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2014.07.14,2014.0,7.0,14.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2014.07.12,2014.0,7.0,12.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.07.09,2014.0,7.0,9.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.07.05.b,2014.0,7.0,5.0,USA,Swimming_Activity,Great_White,Provoked,I,M,N
2014.07.05.a,2014.0,7.0,5.0,USA,Board_Activity,Unknown,Unprovoked,I,U,N
2014.07.03,2014.0,7.0,3.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.06.27.R,2014.0,6.0,27.0,OTH,Paddle_Boat_Activity,Oceanic_Whitetip,Boating,I,M,N
2014.06.25,2014.0,6.0,25.0,BHS,Spearfishing_Activity,Caribbean_Reef,Unprovoked,I,M,N
2014.06.18.b,2014.0,6.0,18.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2014.06.18.a,2014.0,6.0,18.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2014.06.17.R,2014.0,6.0,17.0,AUS,Shark_Handling_Activity,Lemon,Provoked,I,M,N
2014.06.09.c,2014.0,6.0,9.0,OTH,Fishing_Activity,Unknown,Unprovoked,I,U,N
2014.06.09.b,2014.0,6.0,9.0,USA,Wading_Activity,Sandbar,Unprovoked,I,M,N
2014.06.09.a,2014.0,6.0,9.0,AUS,Board_Activity,Copper,Unprovoked,I,M,N
2014.06.08,2014.0,6.0,8.0,JPN,Board_Activity,Unknown,Unprovoked,I,M,N
2014.06.07,2014.0,6.0,7.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2014.06.01.c,2014.0,6.0,1.0,USA,Swimming_Activity,Bull,Unprovoked,I,F,N
2014.06.01.b,2014.0,6.0,1.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2014.06.01.a,2014.0,6.0,1.0,USA,Shark_Handling_Activity,Oceanic_Blacktip,Unprovoked,I,F,N
2014.05.27.R,2014.0,5.0,27.0,AUS,Falling_Into_Water,Bull,Unprovoked,I,F,N
2014.05.23,2014.0,5.0,23.0,OTH,Scuba_Diving_Activity,Unknown,Unprovoked,I,M,N
2014.05.22,2014.0,5.0,22.0,AUS,Shark_Handling_Activity,Sand_Tiger,Provoked,I,M,N
2014.05.15,2014.0,5.0,15.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2014.05.14,2014.0,5.0,14.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2014.05.13,2014.0,5.0,13.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2014.05.06,2014.0,5.0,6.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2014.05.04,2014.0,5.0,4.0,ZAF,Free_Diving_Activity,Broad_Nose_Seven_Gill,Unprovoked,U,U,N
2014.05.01,2014.0,5.0,1.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.04.24,2014.0,4.0,24.0,AUS,Spearfishing_Activity,Unspecified_Reef,Unprovoked,I,M,N
2014.04.22,2014.0,4.0,22.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2014.04.15,2014.0,4.0,15.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2014.04.12.R,2014.0,4.0,12.0,ZAF,Observing_Activity,Great_White,Boating,U,U,N
2014.04.12,2014.0,4.0,12.0,ZAF,Fishing_Activity,Sand_Tiger,Provoked,I,M,N
2014.04.04.b,2014.0,4.0,4.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.04.04.a,2014.0,4.0,4.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.03.22.b,2014.0,3.0,22.0,ZAF,Swimming_Activity,Unknown,Unprovoked,I,M,Y
2014.03.22.a,2014.0,3.0,22.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.03.21,2014.0,3.0,21.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.03.18.c,2014.0,3.0,18.0,NCL,Board_Activity,Unknown,Unprovoked,I,M,N
2014.03.18.b,2014.0,3.0,18.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2014.03.12,2014.0,3.0,12.0,AUS,Swimming_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2014.03.02,2014.0,3.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2014.02.20,2014.0,2.0,20.0,PYF,Board_Activity,Blacktip_Reef,Unprovoked,I,M,N
2014.02.17,2014.0,2.0,17.0,PNG,Boat_Craft_Activity,Unknown,Boating,I,U,N
2014.02.08,2014.0,2.0,8.0,AUS,Spearfishing_Activity,Unknown,Unprovoked,I,M,Y
2014.02.07.b,2014.0,2.0,7.0,OTH,Fishing_Activity,Unknown,Provoked,I,M,N
2014.02.07,2014.0,2.0,7.0,NZL,Board_Activity,Broad_Nose_Seven_Gill,Unprovoked,I,M,N
2014.01.26,2014.0,1.0,26.0,AUS,Fishing_Activity,Unknown,Provoked,I,M,N
2014.01.25,2014.0,1.0,25.0,NZL,Spearfishing_Activity,Broad_Nose_Seven_Gill,Unprovoked,I,M,N
2014.01.04,2014.0,1.0,4.0,JPN,Sea_Disaster,Unknown,Sea Disaster,I,U,N
2013.12.25,2013.0,12.0,25.0,NCL,Snorkeling_Activity,Bull,Unprovoked,I,M,N
2013.12.16,2013.0,12.0,16.0,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2013.12.13,2013.0,12.0,13.0,OTH,Fishing_Activity,Unknown,Unprovoked,I,M,N
2013.12.11,2013.0,12.0,11.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2013.12.10,2013.0,12.0,10.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.12.05,2013.0,12.0,5.0,AUS,Board_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2013.12.02,2013.0,12.0,2.0,USA,Paddle_Boat_Activity,Unknown,Unprovoked,I,M,Y
2013.11.30,2013.0,11.0,30.0,AUS,Board_Activity,Tiger,Unprovoked,I,M,Y
2013.11.29,2013.0,11.0,29.0,USA,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2013.11.23.a,2013.0,11.0,23.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,Y
2013.11.22,2013.0,11.0,22.0,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2013.11.12,2013.0,11.0,12.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2013.11.10,2013.0,11.0,10.0,BHS,Shark_Hunting_Activity,Unknown,Provoked,I,M,N
2013.11.07.b,2013.0,11.0,7.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.11.07.a,2013.0,11.0,7.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.10.31,2013.0,10.0,31.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2013.10.28,2013.0,10.0,28.0,AUS,Snorkeling_Activity,Blacktip_Reef,Unprovoked,I,F,N
2013.10.26.b,2013.0,10.0,26.0,REU,Board_Activity,Bull,Unprovoked,I,M,N
2013.10.26.a,2013.0,10.0,26.0,AUS,Shellfish_Hunting_Activity,Great_White,Unprovoked,I,M,N
2013.10.24,2013.0,10.0,24.0,AUS,Board_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2013.10.23,2013.0,10.0,23.0,USA,Free_Diving_Activity,Whitetip_Reef,Unprovoked,I,M,N
2013.10.20,2013.0,10.0,20.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2013.10.19,2013.0,10.0,19.0,USA,Wading_Activity,Nurse,Unprovoked,I,M,N
2013.10.11,2013.0,10.0,11.0,ZAF,Snorkeling_Activity,Great_White,Unprovoked,I,M,Y
2013.10.08,2013.0,10.0,8.0,AUS,Shellfish_Hunting_Activity,Great_White,Unprovoked,I,M,N
2013.10.05,2013.0,10.0,5.0,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2013.09.29.b,2013.0,9.0,29.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.09.29.a,2013.0,9.0,29.0,OTH,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2013.09.25,2013.0,9.0,25.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2013.09.21.b,2013.0,9.0,21.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2013.09.21.a,2013.0,9.0,21.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.09.14,2013.0,9.0,14.0,USA,Swimming_Activity,Bull,Unprovoked,I,M,N
2013.09.12,2013.0,9.0,12.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2013.09.08,2013.0,9.0,8.0,USA,Unknown_Activity,Unknown,Unprovoked,I,F,N
2013.09.07.b,2013.0,9.0,7.0,USA,Board_Activity,Unknown,Provoked,I,M,N
2013.09.07.a,2013.0,9.0,7.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2013.09.02,2013.0,9.0,2.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.09.01.c,2013.0,9.0,1.0,USA,Unknown_Activity,Nurse,Provoked,I,F,N
2013.09.01.b,2013.0,9.0,1.0,BHS,Unknown_Activity,Unknown,Unprovoked,I,M,N
2013.09.01.a,2013.0,9.0,1.0,USA,Fishing_Activity,Unknown,Unprovoked,I,M,N
2013.08.31.b,2013.0,8.0,31.0,BHS,Spearfishing_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2013.08.31.a,2013.0,8.0,31.0,USA,Swimming_Activity,Salmon,Unprovoked,I,M,N
2013.08.26,2013.0,8.0,26.0,OTH,Shark_Hunting_Activity,Unspecified_Mako,Provoked,I,M,N
2013.08.25.b,2013.0,8.0,25.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2013.08.25,2013.0,8.0,25.0,AUS,Shark_Hunting_Activity,Unknown,Unprovoked,I,M,N
2013.08.18,2013.0,8.0,18.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.08.17,2013.0,8.0,17.0,USA,Board_Activity,Great_White,Unprovoked,I,F,N
2013.08.14,2013.0,8.0,14.0,USA,Snorkeling_Activity,Tiger,Unprovoked,I,F,Y
2013.08.13,2013.0,8.0,13.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2013.08.11,2013.0,8.0,11.0,USA,Board_Activity,Bull,Unprovoked,I,M,N
2013.08.08.R,2013.0,8.0,8.0,ZAF,Shark_Rescue_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2013.08.05,2013.0,8.0,5.0,USA,Fishing_Activity,Bull,Unprovoked,I,M,N
2013.07.31,2013.0,7.0,31.0,USA,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2013.07.30,2013.0,7.0,30.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.07.29.c,2013.0,7.0,29.0,BHS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2013.07.29.b,2013.0,7.0,29.0,MEX,Wading_Activity,Unknown,Unprovoked,I,F,N
2013.07.29.a,2013.0,7.0,29.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2013.07.28.b,2013.0,7.0,28.0,BHS,Fishing_Activity,Nurse,Unprovoked,I,M,N
2013.07.28.a,2013.0,7.0,28.0,BHS,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2013.07.22,2013.0,7.0,22.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,F,Y
2013.07.19,2013.0,7.0,19.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2013.07.17.R,2013.0,7.0,17.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.07.15,2013.0,7.0,15.0,REU,Snorkeling_Activity,Unknown,Unprovoked,I,F,Y
2013.07.14,2013.0,7.0,14.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,Y
2013.07.11,2013.0,7.0,11.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2013.07.02,2013.0,7.0,2.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2013.06.30,2013.0,6.0,30.0,OTH,Fishing_Activity,Unknown,Unprovoked,I,M,N
2013.06.25.c,2013.0,6.0,25.0,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2013.06.25.b,2013.0,6.0,25.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2013.06.25.a,2013.0,6.0,25.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.06.18,2013.0,6.0,18.0,USA,Swimming_Activity,Tiger,Unprovoked,I,M,N
2013.06.17,2013.0,6.0,17.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.06.16,2013.0,6.0,16.0,ZAF,Board_Activity,Unknown,Unprovoked,I,M,N
2013.06.15,2013.0,6.0,15.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2013.06.14.R,2013.0,6.0,14.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2013.06.06.b,2013.0,6.0,6.0,USA,Shark_Hunting_Activity,Lemon,Provoked,I,M,N
2013.06.06.a,2013.0,6.0,6.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2013.05.27.b,2013.0,5.0,27.0,USA,Free_Diving_Activity,Galapagos_Reef,Unprovoked,I,M,N
2013.05.27.a,2013.0,5.0,27.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.05.23.b,2013.0,5.0,23.0,OTH,Unknown_Activity,Unknown,Unprovoked,I,M,Y
2013.05.23.a,2013.0,5.0,23.0,OTH,Fishing_Activity,Unknown,Provoked,I,M,N
2013.05.14,2013.0,5.0,14.0,OTH,Board_Activity,Galapagos_Reef,Unprovoked,I,M,N
2013.05.08.a,2013.0,5.0,8.0,REU,Board_Activity,Bull,Unprovoked,I,M,Y
2013.05.04.a,2013.0,5.0,4.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.04.28,2013.0,4.0,28.0,AUS,Fishing_Activity,Unspecified_Wobbegong,Provoked,I,M,N
2013.04.24,2013.0,4.0,24.0,MEX,Swimming_Activity,Tiger,Unprovoked,I,F,N
2013.04.21,2013.0,4.0,21.0,AUS,Fishing_Activity,Sand_Tiger,Unprovoked,I,M,N
2013.04.17,2013.0,4.0,17.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2013.04.14,2013.0,4.0,14.0,ZAF,Free_Diving_Activity,Great_Blue,Unprovoked,I,M,N
2013.04.13.b,2013.0,4.0,13.0,USA,Board_Activity,Bull,Unprovoked,I,M,N
2013.04.13.a,2013.0,4.0,13.0,OTH,Unknown_Activity,Unknown,Unprovoked,I,M,Y
2013.04.10,2013.0,4.0,10.0,PYF,Board_Activity,Unknown,Unprovoked,I,M,N
2013.04.04,2013.0,4.0,4.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.04.02.a,2013.0,4.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2013.03.29,2013.0,3.0,29.0,OTH,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2013.03.21.R,2013.0,3.0,21.0,OTH,Snorkeling_Activity,Nurse,Unprovoked,I,F,N
2013.03.21,2013.0,3.0,21.0,BHS,Fishing_Activity,Unknown,Unprovoked,I,F,N
2013.03.16.b,2013.0,3.0,16.0,ZAF,Fishing_Activity,Sand_Tiger,Provoked,I,M,N
2013.03.16.a,2013.0,3.0,16.0,ZAF,Board_Activity,Unknown,Unprovoked,I,M,N
2013.03.12,2013.0,3.0,12.0,JAM,Spearfishing_Activity,Tiger,Unprovoked,I,M,Y
2013.03.10.b,2013.0,3.0,10.0,AUS,Spearfishing_Activity,Copper,Unprovoked,I,M,N
2013.03.10.a,2013.0,3.0,10.0,PHL,Inflatable_Craft_Activity,Unknown,Unprovoked,I,M,N
2013.03.03,2013.0,3.0,3.0,ZAF,Swimming_Activity,Unknown,Unprovoked,I,M,N
2013.02.27,2013.0,2.0,27.0,NZL,Swimming_Activity,Great_White,Unprovoked,I,M,Y
2013.02.21.b,2013.0,2.0,21.0,USA,Board_Activity,Unspecified_Reef,Unprovoked,U,U,N
2013.02.21.a,2013.0,2.0,21.0,USA,Board_Activity,Unspecified_Reef,Unprovoked,I,M,N
2013.02.10,2013.0,2.0,10.0,USA,Board_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2013.02.09,2013.0,2.0,9.0,PYF,Scuba_Diving_Activity,Lemon,Unprovoked,I,M,N
2013.02.01,2013.0,2.0,1.0,JAM,Unknown_Activity,Unknown,Unprovoked,I,M,N
2013.01.26,2013.0,1.0,26.0,AUS,Fishing_Activity,Great_White,Boating,I,M,N
2013.01.25,2013.0,1.0,25.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2013.01.16,2013.0,1.0,16.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2013.01.13,2013.0,1.0,13.0,NZL,Spearfishing_Activity,Copper,Unprovoked,I,M,N
2013.01.05,2013.0,1.0,5.0,AUS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2012.12.31,2012.0,12.0,31.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2012.12.30,2012.0,12.0,30.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2012.12.28,2012.0,12.0,28.0,AUS,Board_Activity,Bull,Unprovoked,I,M,N
2012.12.25,2012.0,12.0,25.0,ZAF,Swimming_Activity,Tiger,Unprovoked,I,M,Y
2012.12.19,2012.0,12.0,19.0,AUS,Board_Activity,Tiger,Unprovoked,I,M,N
2012.12.05,2012.0,12.0,5.0,USA,Board_Activity,Unknown,Unprovoked,I,U,N
2012.12.02,2012.0,12.0,2.0,AUS,Spearfishing_Activity,Sand_Tiger,Unprovoked,I,M,N
2012.11.30,2012.0,11.0,30.0,USA,Snorkeling_Activity,Tiger,Unprovoked,I,M,N
2012.11.22,2012.0,11.0,22.0,MEX,Swimming_Activity,Unknown,Unprovoked,I,M,Y
2012.11.19,2012.0,11.0,19.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.11.04.b,2012.0,11.0,4.0,USA,Free_Diving_Activity,Tiger,Unprovoked,I,M,N
2012.11.04.a,2012.0,11.0,4.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2012.10.30,2012.0,10.0,30.0,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2012.10.27,2012.0,10.0,27.0,USA,Swimming_Activity,Tiger,Unprovoked,I,F,N
2012.10.23,2012.0,10.0,23.0,USA,Board_Activity,Great_White,Unprovoked,I,M,Y
2012.10.19,2012.0,10.0,19.0,USA,Unknown_Activity,Unknown,Unprovoked,I,F,N
2012.10.18.b,2012.0,10.0,18.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.10.18.a,2012.0,10.0,18.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.10.11.R,2012.0,10.0,11.0,OTH,Wading_Activity,Unknown,Unprovoked,I,F,N
2012.10.07,2012.0,10.0,7.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.10.02,2012.0,10.0,2.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.25,2012.0,9.0,25.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.24,2012.0,9.0,24.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.16,2012.0,9.0,16.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.10,2012.0,9.0,10.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,F,N
2012.09.09,2012.0,9.0,9.0,USA,Board_Activity,Unknown,Unprovoked,I,U,N
2012.09.08.b,2012.0,9.0,8.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.08.a,2012.0,9.0,8.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2012.09.06.b,2012.0,9.0,6.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.06.a,2012.0,9.0,6.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.04,2012.0,9.0,4.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.09.02.b,2012.0,9.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2012.09.02.a,2012.0,9.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2012.08.31,2012.0,8.0,31.0,OTH,Shark_Hunting_Activity,Porbeagle,Provoked,I,M,N
2012.08.28,2012.0,8.0,28.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2012.08.26,2012.0,8.0,26.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,Y
2012.08.15,2012.0,8.0,15.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2012.08.11,2012.0,8.0,11.0,AUS,Fishing_Activity,Unknown,Boating,U,U,N
2012.08.09,2012.0,8.0,9.0,USA,Free_Diving_Activity,Lemon,Unprovoked,I,M,N
2012.08.05,2012.0,8.0,5.0,REU,Board_Activity,Bull,Unprovoked,I,M,N
2012.08.04,2012.0,8.0,4.0,PYF,Spearfishing_Activity,Lemon,Unprovoked,I,M,N
2012.07.31.b,2012.0,7.0,31.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.07.31.a,2012.0,7.0,31.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2012.07.30.b,2012.0,7.0,30.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.07.30.a,2012.0,7.0,30.0,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2012.07.23,2012.0,7.0,23.0,REU,Board_Activity,Unknown,Unprovoked,I,M,Y
2012.07.14,2012.0,7.0,14.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,Y
2012.07.08,2012.0,7.0,8.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2012.07.07.c,2012.0,7.0,7.0,BHS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2012.07.07.a,2012.0,7.0,7.0,USA,Paddle_Boat_Activity,Unknown,Boating,I,U,N
2012.07.06,2012.0,7.0,6.0,ZAF,Board_Activity,Unknown,Unprovoked,I,M,N
2012.06.26.c,2012.0,6.0,26.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2012.06.26.b,2012.0,6.0,26.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.06.26.a,2012.0,6.0,26.0,USA,Wading_Activity,Unspecified_Reef,Unprovoked,I,F,N
2012.06.22.b,2012.0,6.0,22.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2012.06.22.a,2012.0,6.0,22.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2012.06.20,2012.0,6.0,20.0,AUS,Ski_Activity,Unknown,Unprovoked,I,M,N
2012.06.18,2012.0,6.0,18.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2012.06.15,2012.0,6.0,15.0,USA,Fishing_Activity,Nurse,Provoked,I,M,N
2012.06.14.d,2012.0,6.0,14.0,USA,Swimming_Activity,Oceanic_Blacktip,Unprovoked,I,F,N
2012.06.14.b,2012.0,6.0,14.0,USA,Swimming_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2012.06.14.a,2012.0,6.0,14.0,USA,Swimming_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2012.06.12,2012.0,6.0,12.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2012.06.10,2012.0,6.0,10.0,ITA,Shark_Rescue_Activity,Great_Blue,Provoked,I,M,N
2012.06.03,2012.0,6.0,3.0,AUS,Ski_Activity,Great_White,Unprovoked,I,M,N
2012.06.02.b,2012.0,6.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2012.06.02.a,2012.0,6.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.05.31,2012.0,5.0,31.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2012.05.29,2012.0,5.0,29.0,MEX,Spearfishing_Activity,Bull,Unprovoked,I,M,N
2012.05.23,2012.0,5.0,23.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.05.20,2012.0,5.0,20.0,USA,Paddle_Boat_Activity,Tiger,Boating,I,M,N
2012.05.16,2012.0,5.0,16.0,OTH,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2012.05.12,2012.0,5.0,12.0,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2012.05.09,2012.0,5.0,9.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2012.05.06,2012.0,5.0,6.0,USA,Board_Activity,Great_White,Unprovoked,I,F,N
2012.04.19.b,2012.0,4.0,19.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.04.19.a,2012.0,4.0,19.0,ZAF,Board_Activity,Great_White,Unprovoked,I,M,Y
2012.04.11,2012.0,4.0,11.0,AUS,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2012.04.03,2012.0,4.0,3.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2012.03.31,2012.0,3.0,31.0,AUS,Scuba_Diving_Activity,Great_White,Unprovoked,I,M,Y
2012.03.24,2012.0,3.0,24.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.03.22,2012.0,3.0,22.0,AUS,Shellfish_Hunting_Activity,Great_White,Boating,I,M,N
2012.03.20,2012.0,3.0,20.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2012.03.15,2012.0,3.0,15.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.03.14.b,2012.0,3.0,14.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2012.03.14.a,2012.0,3.0,14.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2012.03.06.b,2012.0,3.0,6.0,NZL,Board_Activity,Unknown,Unprovoked,I,M,N
2012.03.06.a,2012.0,3.0,6.0,AUS,Feeding_Activity,Sand_Tiger,Provoked,I,F,N
2012.03.05,2012.0,3.0,5.0,REU,Board_Activity,Unknown,Unprovoked,I,M,N
2012.03.04,2012.0,3.0,4.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
