2019.07.12,2019,7,12,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2019.07.10,2019,7,10,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2019.07.09,2019,7,9,AUS,Board_Activity,Bull,Unprovoked,I,M,N
2019.07.06,2019,7,6,MEX,Fishing_Activity,Unknown,Provoked,I,M,N
2019.07.04,2019,7,4,BHS,Snorkeling_Activity,Unknown,Unprovoked,I,M,N
2019.06.30,2019,6,30,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.06.26,2019,6,26,BHS,Snorkeling_Activity,Unknown,Unprovoked,I,F,Y
2019.06.16.b,2019,6,16,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2019.06.16.a,2019,6,16,USA,Swimming_Activity,Bull,Unprovoked,I,M,N
2019.06.10,2019,6,10,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.06.06.R,2019,6,6,AUS,Shellfish_Hunting_Activity,Unknown,Unprovoked,I,M,N
2019.06.05,2019,6,5,AUS,Board_Activity,Unknown,Unknown,I,M,N
2019.06.02,2019,6,2,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2019.05.29,2019,5,29,NCL,Fishing_Activity,Unknown,Unprovoked,I,M,Y
2019.05.25.b,2019,5,25,USA,Swimming_Activity,Unknown,Unprovoked,I,M,Y
2019.05.25.a,2019,5,25,NCL,Swimming_Activity,Bull,Unprovoked,I,M,N
2019.05.14.b,2019,5,14,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.05.14.a,2019,5,14,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2019.05.09,2019,5,9,OTH,Board_Activity,Unknown,Unprovoked,I,M,Y
2019.05.01,2019,5,1,USA,Fishing_Activity,Unknown,Unprovoked,I,F,N
2019.04.27.R,2019,4,27,AUS,Spearfishing_Activity,Sand_Tiger,Unprovoked,I,M,N
2019.04.23,2019,4,23,USA,Paddle_Boat_Activity,Tiger,Unprovoked,I,F,N
2019.04.21,2019,4,21,USA,Unknown_Activity,Unknown,Unprovoked,I,M,N
2019.04.12,2019,4,12,USA,Board_Activity,Unknown,Unknown,I,F,N
2019.04.06.b,2019,4,6,USA,Shellfish_Hunting_Activity,Tiger,Unknown,I,M,N
2019.04.06.a,2019,4,6,USA,Swimming_Activity,Cookiecutter,Unprovoked,I,M,N
2019.04.05,2019,4,5,OTH,Tank_Activity,Sand_Tiger,Provoked,I,U,N
2019.03.26,2019,3,26,USA,Paddle_Boat_Activity,Unknown,Watercraft,I,M,N
2019.03.25,2019,3,25,AUS,Swimming_Activity,Grey_Reef,Unprovoked,I,M,N
2019.03.22,2019,3,22,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.03.21,2019,3,21,MEX,Swimming_Activity,Unknown,Unprovoked,I,M,N
2019.03.16,2019,3,16,USA,Swimming_Activity,Cookiecutter,Unprovoked,I,M,N
2019.03.12,2019,3,12,USA,Board_Activity,Spinner,Unprovoked,I,M,N
2019.03.05.b,2019,3,5,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.03.05.a,2019,3,5,ZAF,Fishing_Activity,Unknown,Provoked,I,M,N
2019.02.17,2019,2,17,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2019.02.14,2019,2,14,OTH,Board_Activity,Lemon,Unprovoked,I,M,N
2019.02.04.b,2019,2,4,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2019.02.04.a,2019,2,4,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2019.02.02.b,2019,2,2,ZAF,Fishing_Activity,Unknown,Watercraft,M,S,N
2019.02.02.a,2019,2,2,USA,Spearfishing_Activity,Bull,Unprovoked,I,M,N
2019.01.30,2019,1,30,OTH,Fishing_Activity,Unknown,Unprovoked,I,M,Y
2019.01.14,2019,1,14,AUS,Swimming_Activity,Unspecified_Wobbegong,Unprovoked,I,F,N
2019.01.08,2019,1,8,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2018.12.18,2018,12,18,MEX,Free_Diving_Activity,Tiger,Unprovoked,I,M,Y
2018.12.15.a,2018,12,15,NZL,Spearfishing_Activity,Unspecified_Mako,Provoked,I,M,N
2018.12.09.b,2018,12,9,NZL,Spearfishing_Activity,Copper,Unprovoked,I,M,N
2018.12.09.a,2018,12,9,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.11.18,2018,11,18,AUS,Spearfishing_Activity,Unspecified_Reef,Unprovoked,I,M,N
2018.11.17,2018,11,17,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.11.11.b,2018,11,11,ZAF,Fishing_Activity,Great_White,Unprovoked,I,M,N
2018.11.11.a,2018,11,11,AUS,Board_Activity,Sand_Tiger,Unprovoked,I,M,N
2018.11.09,2018,11,9,BHS,Swimming_Activity,Nurse,Unprovoked,I,M,N
2018.11.07.b,2018,11,7,EGY,Scuba_Diving_Activity,Oceanic_Whitetip,Unprovoked,I,M,N
2018.11.07.a,2018,11,7,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.11.05,2018,11,5,AUS,Swimming_Activity,Unknown,Unprovoked,I,M,Y
2018.10.24,2018,10,24,AUS,Board_Activity,Unknown,Unknown,I,M,N
2018.10.23.c,2018,10,23,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2018.10.23.b,2018,10,23,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.10.23.a,2018,10,23,USA,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2018.10.19.b,2018,10,19,AUS,Board_Activity,Bull,Unprovoked,I,M,N
2018.10.19.a,2018,10,19,NZL,Board_Activity,Great_White,Unprovoked,I,M,N
2018.10.13,2018,10,13,AUS,Spearfishing_Activity,Great_White,Unknown,I,M,N
2018.10.11,2018,10,11,USA,Board_Activity,Spinner,Unprovoked,I,F,N
2018.10.08,2018,10,8,AUS,Fishing_Activity,Unspecified_Reef,Provoked,I,M,N
